	premise	hypothesis	type-of-inference	metadata	label
1820	No texts no calls. Ha just how I like it. :).	I don't like having no texts and no calls.	sarcasm	{'snum': '387398360363057152-2', 'incongruency': 'explicit'}	?
1821	No texts no calls. Ha just how I like it. :).	No texts no calls. Not how I like it. :(.	sarcasm	{'snum': '387398360363057152-3', 'incongruency': 'explicit'}	?
1822	No texts no calls. Ha just how I like it. :).	No texts no calls. Ha just how I don't like it. :).	sarcasm	{'snum': '387398360363057152-4', 'incongruency': 'explicit'}	?
1823	I don't get why people think me and my dad look alike #babyme #misshim	I understand why people think me and my dad look alike.	sarcasm	{'snum': '378986114163695616-1', 'incongruency': 'implicit'}	?
1824	I don't get why people think me and my dad look alike #babyme #misshim	I understand why people think me and my dad look alike.	sarcasm	{'snum': '378986114163695616-2', 'incongruency': 'implicit'}	?
1825	I don't get why people think me and my dad look alike #babyme #misshim	I completely understand why people that me and my dad look alike.	sarcasm	{'snum': '378986114163695616-3', 'incongruency': 'implicit'}	?
1826	I don't get why people think me and my dad look alike #babyme #misshim	I get why people think me and my dad look alike #babyme #misshim	sarcasm	{'snum': '378986114163695616-4', 'incongruency': 'implicit'}	?
1827	I love it when you leave me voicemails where you don say shit.	I hate it when you leave me voicemails where you don say shit.	sarcasm	{'snum': '379084752348655616-1', 'incongruency': 'explicit'}	?
1828	I love it when you leave me voicemails where you don say shit.	I hate it when you leave me voicemails where you don't say anything.	sarcasm	{'snum': '379084752348655616-2', 'incongruency': 'explicit'}	?
1829	I love it when you leave me voicemails where you don say shit.	I hate it when you leave me voicemails where you don't say shit.	sarcasm	{'snum': '379084752348655616-3', 'incongruency': 'explicit'}	?
1830	I love it when you leave me voicemails where you don say shit.	I hate it when you leave me voicemails where you don't say anything.	sarcasm	{'snum': '379084752348655616-4', 'incongruency': 'explicit'}	?
1831	I love it when you leave me voicemails where you don say shit.	I hate it when you leave me voicemails where you don't say shit	sarcasm	{'snum': '379084752348655616-5', 'incongruency': 'explicit'}	?
1832	Driving is nice with zero visibility.. #fog	Driving is not nice with zero visibility	sarcasm	{'snum': '406184850451095552-1', 'incongruency': 'explicit'}	?
1833	Driving is nice with zero visibility.. #fog	zero visibility in fog makes driving difficult	sarcasm	{'snum': '406184850451095552-2', 'incongruency': 'explicit'}	?
1834	Driving is nice with zero visibility.. #fog	Driving in fog is terrible.	sarcasm	{'snum': '406184850451095552-3', 'incongruency': 'explicit'}	?
1835	Driving is nice with zero visibility.. #fog	Driving is a pain with zero visibility...#fog	sarcasm	{'snum': '406184850451095552-4', 'incongruency': 'explicit'}	?
1836	Driving is nice with zero visibility.. #fog	Driving with zero visibility is terrible.	sarcasm	{'snum': '406184850451095552-5', 'incongruency': 'explicit'}	?
1837	I'm so happy my teacher cancelled class after I already went to class #goinghome	I am upset that my teacher cancelled class after I already went to class.	sarcasm	{'snum': '383232644147736576-1', 'incongruency': 'explicit'}	?
1838	I'm so happy my teacher cancelled class after I already went to class #goinghome	I'm not happy that my teacher cancelled class after I already went to class.	sarcasm	{'snum': '383232644147736576-2', 'incongruency': 'explicit'}	?
1839	I'm so happy my teacher cancelled class after I already went to class #goinghome	I hate it when I show up for class and find out it's been canceled #goinghome	sarcasm	{'snum': '383232644147736576-3', 'incongruency': 'explicit'}	?
1840	I'm so happy my teacher cancelled class after I already went to class #goinghome	I wish my teacher would have told me the class was cancelled before I showed up	sarcasm	{'snum': '383232644147736576-4', 'incongruency': 'explicit'}	?
1841	ToUser I just really enjoy getting fucked over. It's become one of my favorite things	@User I just really hate getting fucked over. It's become one of my least favorite things	sarcasm	{'snum': '378967376307306496-1', 'incongruency': 'explicit'}	?
1842	ToUser I just really enjoy getting fucked over. It's become one of my favorite things	@User I don't really enjoy getting fucked over. It's become one of my most disliked things	sarcasm	{'snum': '378967376307306496-2', 'incongruency': 'explicit'}	?
1843	ToUser I just really enjoy getting fucked over. It's become one of my favorite things	I just really do not like getting fucked over. It's never going to be one of my favorite things	sarcasm	{'snum': '378967376307306496-3', 'incongruency': 'explicit'}	?
1844	ToUser I just really enjoy getting fucked over. It's become one of my favorite things	I hate getting fucked over. It's one of my least favorite things.	sarcasm	{'snum': '378967376307306496-4', 'incongruency': 'explicit'}	?
1845	ToUser I just really enjoy getting fucked over. It's become one of my favorite things	I am disappointed in how I was treated.	sarcasm	{'snum': '378967376307306496-5', 'incongruency': 'explicit'}	?
1846	Cops can be sooo intimidating with their flashlights	Cops are not intimidating with their flashlights.	sarcasm	{'snum': '379072985661190144-1', 'incongruency': 'implicit'}	?
1847	Cops can be sooo intimidating with their flashlights	Cops can be sooo weak and unintimidating with their flashlights	sarcasm	{'snum': '379072985661190144-2', 'incongruency': 'implicit'}	?
1848	Cops can be sooo intimidating with their flashlights	Cops aren't that intimidating with their flashlights.	sarcasm	{'snum': '379072985661190144-3', 'incongruency': 'implicit'}	?
1849	Cops can be sooo intimidating with their flashlights	Cops are not intimidating at all with just a flashlight	sarcasm	{'snum': '379072985661190144-4', 'incongruency': 'implicit'}	?
1850	Cops can be sooo intimidating with their flashlights	Cops don't intimidate me with their flashlights.	sarcasm	{'snum': '379072985661190144-5', 'incongruency': 'implicit'}	?
1851	Bad headache, can't wait to get home and do homework #fml	Bad headache, I dread getting home and doing homework.	sarcasm	{'snum': '380761395442110465-1', 'incongruency': 'explicit'}	?
1852	Bad headache, can't wait to get home and do homework #fml	Bad headache, I hate that I have to go home and do homework #fml	sarcasm	{'snum': '380761395442110465-2', 'incongruency': 'explicit'}	?
1853	Bad headache, can't wait to get home and do homework #fml	Bad headache, I'm dreading going  home to do homework	sarcasm	{'snum': '380761395442110465-3', 'incongruency': 'explicit'}	?
1854	Bad headache, can't wait to get home and do homework #fml	I don't feel well and I'm not looking forward to doing homework.	sarcasm	{'snum': '380761395442110465-4', 'incongruency': 'explicit'}	?
1855	Stress is always the best	Stress is always bad.	sarcasm	{'snum': '379092202359513088-1', 'incongruency': 'explicit'}	?
1856	Stress is always the best	Stress is always the worst	sarcasm	{'snum': '379092202359513088-2', 'incongruency': 'explicit'}	?
1857	Stress is always the best	Stress is always terrible	sarcasm	{'snum': '379092202359513088-3', 'incongruency': 'explicit'}	?
1858	Stress is always the best	Stress is always the worst	sarcasm	{'snum': '379092202359513088-4', 'incongruency': 'explicit'}	?
1859	Stress is always the best	Stress is always the worse	sarcasm	{'snum': '379092202359513088-5', 'incongruency': 'explicit'}	?
1860	Migraine day 4! Yippee -_-	Migraine day 4. This is not fun.	sarcasm	{'snum': '380480080633663488-1', 'incongruency': 'explicit'}	?
1861	Migraine day 4! Yippee -_-	I've had a migraine for four days. I feel terrible.	sarcasm	{'snum': '380480080633663488-2', 'incongruency': 'explicit'}	?
1862	Migraine day 4! Yippee -_-	It's the fourth day I've had a migraine.  This is terrible.	sarcasm	{'snum': '380480080633663488-3', 'incongruency': 'explicit'}	?
1863	Migraine day 4! Yippee -_-	I really hate that I'm having a migraine that's lasting  4 days -_-	sarcasm	{'snum': '380480080633663488-4', 'incongruency': 'explicit'}	?
1864	Migraine day 4! Yippee -_-	I hate having a migraine for 4 days.	sarcasm	{'snum': '380480080633663488-5', 'incongruency': 'explicit'}	?
1865	At the DMV before I kick off the day! Love you DMV! #not #bored #tired	At the DMV before I kick off the day. I hate you, DMV.	sarcasm	{'snum': '392331159234805760-1', 'incongruency': 'implicit'}	?
1866	At the DMV before I kick off the day! Love you DMV! #not #bored #tired	At the DMV before I kick off the day! Hate you DMV! #bored #tired	sarcasm	{'snum': '392331159234805760-2', 'incongruency': 'implicit'}	?
1867	At the DMV before I kick off the day! Love you DMV! #not #bored #tired	At the DMV before I kick off the day! Hate you DMV! #not #bored #tired	sarcasm	{'snum': '392331159234805760-3', 'incongruency': 'implicit'}	?
1868	At the DMV before I kick off the day! Love you DMV! #not #bored #tired	At the DMV before I kick off the day. I hate the DMV!	sarcasm	{'snum': '392331159234805760-4', 'incongruency': 'implicit'}	?
1869	At the DMV before I kick off the day! Love you DMV! #not #bored #tired	I really hate being at the DMV before I kick off the day	sarcasm	{'snum': '392331159234805760-5', 'incongruency': 'implicit'}	?
1870	Don't yeah just love getting under payed	I hate that I get under paid.	sarcasm	{'snum': '411440697334841344-1', 'incongruency': 'explicit'}	?
1871	Don't yeah just love getting under payed	I hate getting under payed.	sarcasm	{'snum': '411440697334841344-2', 'incongruency': 'explicit'}	?
1872	Don't yeah just love getting under payed	Don't you just hate getting under payed?	sarcasm	{'snum': '411440697334841344-3', 'incongruency': 'explicit'}	?
1873	Don't yeah just love getting under payed	I hate getting underpaid	sarcasm	{'snum': '411440697334841344-4', 'incongruency': 'explicit'}	?
1874	Don't yeah just love getting under payed	Don't you just hate getting under payed	sarcasm	{'snum': '411440697334841344-5', 'incongruency': 'explicit'}	?
1875	Marking is so much fun on a Sunday evening #candles #redpen http://t.co/dhOvnfFpkd	Marking on a Sunday evening is not fun.	sarcasm	{'snum': '407245476883595264-1', 'incongruency': 'explicit'}	?
1876	Marking is so much fun on a Sunday evening #candles #redpen http://t.co/dhOvnfFpkd	Marking is not much fun on a Sunday evening #candles #redpen http://t.co/dhOvnfFpkd	sarcasm	{'snum': '407245476883595264-2', 'incongruency': 'explicit'}	?
1877	Marking is so much fun on a Sunday evening #candles #redpen http://t.co/dhOvnfFpkd	Marking is no fun on a Sunday evening.	sarcasm	{'snum': '407245476883595264-3', 'incongruency': 'explicit'}	?
1878	Marking is so much fun on a Sunday evening #candles #redpen http://t.co/dhOvnfFpkd	I hate marking on a Sunday evening #candles #redpen	sarcasm	{'snum': '407245476883595264-4', 'incongruency': 'explicit'}	?
1879	Grandparents place for the week.......Great!!	Grandparents place for the week. I am not excited.	sarcasm	{'snum': '379142696293908480-1', 'incongruency': 'implicit'}	?
1880	Grandparents place for the week.......Great!!	Grandparents place for the week.......Not good!	sarcasm	{'snum': '379142696293908480-2', 'incongruency': 'implicit'}	?
1881	Grandparents place for the week.......Great!!	I do not want to be at my grandparents' place for the week.	sarcasm	{'snum': '379142696293908480-3', 'incongruency': 'implicit'}	?
1882	Grandparents place for the week.......Great!!	I wish I didn't have to go to my grandparents' house for the week.	sarcasm	{'snum': '379142696293908480-4', 'incongruency': 'implicit'}	?
1883	Grandparents place for the week.......Great!!	Going to my grandparents place for the week will not be fun.	sarcasm	{'snum': '379142696293908480-5', 'incongruency': 'implicit'}	?
1884	Taco Bell got my order wrong again. #surprise	It's unsurprising that Taco Bell got my order wrong again.	sarcasm	{'snum': '379085426503327745-1', 'incongruency': 'explicit'}	?
1885	Taco Bell got my order wrong again. #surprise	I'm not surprised that Taco Bell got my order wrong again.	sarcasm	{'snum': '379085426503327745-2', 'incongruency': 'explicit'}	?
1886	Taco Bell got my order wrong again. #surprise	Taco bell got my order wrong again. #notsuprised	sarcasm	{'snum': '379085426503327745-3', 'incongruency': 'explicit'}	?
1887	Taco Bell got my order wrong again. #surprise	I'm not surprised that Taco Bell got my order wrong again. #surprise	sarcasm	{'snum': '379085426503327745-4', 'incongruency': 'explicit'}	?
